event,duration,transition,velocity
59,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
67,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
85,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
74,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
54,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
65,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
76,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
81,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
70,1.2479166666666666 (~9/8),0.25 (1/4),33 (pppp)
44,0.4729166666666666 (~1/2),0.5 (1/2),33 (pppp)
55,0.2479166666666666 (~1/4),1.25 (~9/8),33 (pppp)
72,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
86,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
54,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
65,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
76,0.7479166666666667 (~3/4),0.75 (3/4),96 (f)
69,0.1229166666666666 (~1/8),0.25 (1/4),96 (f)
59,0.7479166666666667 (~3/4),0.75 (3/4),96 (f)
61,0.1229166666666666 (~1/8),0.25 (1/4),96 (f)
74,0.0833333333333333 (~3/32),0.08541666666666667 (~3/32),49 (ppp)
87,0.0791666666666666 (~3/32),0.16458333333333333 (~3/16),49 (ppp)
76,0.1229166666666666 (~1/8),0.08541666666666667 (~3/32),49 (ppp)
53,0.0791666666666666 (~3/32),0.16458333333333333 (~3/16),49 (ppp)
81,0.0833333333333333 (~3/32),0.08541666666666667 (~3/32),38 (pppp)
70,0.2020833333333332 (~3/16),1.1645833333333333 (~9/8),38 (pppp)
92,0.1229166666666666 (~1/8),0.25 (1/4),16 (ppppp)
67,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
73,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
78,1.0729166666666667 (~9/8),0.25 (1/4),49 (ppp)
53,0.4729166666666666 (~1/2),0.5 (1/2),49 (ppp)
64,0.4729166666666666 (~1/2),0.75 (3/4),49 (ppp)
84,0.0833333333333333 (~3/32),0.08541666666666667 (~3/32),58 (pp)
81,0.1604166666666666 (~3/16),0.16458333333333333 (~3/16),58 (pp)
70,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
67,0.2354166666666666 (~1/4),0.25 (1/4),33 (pppp)
84,0.0833333333333333 (~3/32),0.08541666666666667 (~3/32),19 (ppppp)
81,0.1604166666666666 (~3/16),0.16458333333333333 (~3/16),19 (ppppp)
70,0.1229166666666666 (~1/8),0.25 (1/4),16 (ppppp)
59,0.1229166666666666 (~1/8),0.25 (1/4),16 (ppppp)
73,0.4729166666666666 (~1/2),0.25 (1/4),16 (ppppp)
72,0.9979166666666668 (~1),1.5 (~9/8),49 (ppp)
50,0.4979166666666667 (~1/2),0.5 (1/2),58 (pp)
63,0.33125 (~1/4),0.25 (1/4),33 (pppp)
77,0.1229166666666666 (~1/8),0.08333333333333333 (~3/32),33 (pppp)
88,0.33125 (~1/4),0.3333333333333333 (~1/4),33 (pppp)
84,0.3145833333333333 (~1/4),0.6666666666666666 (~3/4),33 (pppp)
69,0.33125 (~1/4),0.16666666666666666 (~3/16),81 (mf)
58,0.2479166666666666 (~1/4),0.16666666666666666 (~3/16),73 (mp)
47,0.33125 (~1/4),0.3333333333333333 (~1/4),65 (p)
67,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
73,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
62,0.1229166666666666 (~1/8),0.8333333333333334 (~7/8),49 (ppp)
66,0.33125 (~1/4),0.16666666666666666 (~3/16),96 (f)
53,0.4729166666666666 (~1/2),0.16666666666666666 (~3/16),96 (f)
40,0.33125 (~1/4),0.3333333333333333 (~1/4),96 (f)
69,0.7479166666666667 (~3/4),0.75 (3/4),96 (f)
55,0.1229166666666666 (~1/8),0.25 (1/4),96 (f)
61,0.7479166666666667 (~3/4),0.75 (3/4),96 (f)
42,0.1229166666666666 (~1/8),0.25 (1/4),96 (f)
64,0.7479166666666667 (~3/4),0.75 (3/4),96 (f)
45,0.1229166666666666 (~1/8),0.5833333333333334 (~1/2),96 (f)
83,0.3145833333333333 (~1/4),0.16666666666666666 (~3/16),96 (f)
67,0.2479166666666666 (~1/4),0.16666666666666666 (~3/16),96 (f)
73,0.3145833333333333 (~1/4),0.3333333333333333 (~1/4),96 (f)
39,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
42,0.2354166666666666 (~1/4),0.08333333333333333 (~3/32),96 (f)
76,0.3145833333333333 (~1/4),0.16666666666666666 (~3/16),96 (f)
53,0.2354166666666666 (~1/4),0.16666666666666666 (~3/16),96 (f)
69,0.3145833333333333 (~1/4),0.5833333333333334 (~1/2),96 (f)
35,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
44,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
52,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
61,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
50,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
75,0.2354166666666666 (~1/4),0.8333333333333334 (~7/8),96 (f)
89,0.3145833333333333 (~1/4),0.16666666666666666 (~3/16),96 (f)
64,0.4729166666666666 (~1/2),0.16666666666666666 (~3/16),96 (f)
81,0.3145833333333333 (~1/4),0.3333333333333333 (~1/4),96 (f)
47,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
55,0.2354166666666666 (~1/4),0.08333333333333333 (~3/32),96 (f)
73,0.3145833333333333 (~1/4),0.16666666666666666 (~3/16),96 (f)
90,0.2354166666666666 (~1/4),0.16666666666666666 (~3/16),96 (f)
76,0.3145833333333333 (~1/4),0.3333333333333333 (~1/4),96 (f)
96,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
82,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
67,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
49,0.2354166666666666 (~1/4),0.5 (1/2),96 (f)
90,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
52,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
83,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
80,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
43,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
61,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
78,0.4729166666666666 (~1/2),0.3333333333333333 (~1/4),96 (f)
74,0.3145833333333333 (~1/4),0.16666666666666666 (~3/16),96 (f)
41,0.4729166666666666 (~1/2),0.16666666666666666 (~3/16),96 (f)
60,0.3145833333333333 (~1/4),0.5833333333333334 (~1/2),96 (f)
81,0.4729166666666666 (~1/2),0.08333333333333333 (~3/32),96 (f)
70,0.9479166666666666 (~1),0.4166666666666667 (~1/2),96 (f)
56,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
43,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
51,0.2354166666666666 (~1/4),0.08333333333333333 (~3/32),96 (f)
73,0.3145833333333333 (~1/4),0.16666666666666666 (~3/16),96 (f)
54,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
76,0.2354166666666666 (~1/4),0.5833333333333334 (~1/2),96 (f)
84,0.33125 (~1/4),0.16666666666666666 (~3/16),96 (f)
69,0.2479166666666666 (~1/4),0.16666666666666666 (~3/16),96 (f)
47,0.33125 (~1/4),0.3333333333333333 (~1/4),96 (f)
73,0.9479166666666666 (~1),0.25 (1/4),96 (f)
39,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
42,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
53,0.2354166666666666 (~1/4),0.5833333333333334 (~1/2),96 (f)
88,0.3145833333333333 (~1/4),0.16666666666666666 (~3/16),96 (f)
69,0.2479166666666666 (~1/4),0.16666666666666666 (~3/16),96 (f)
47,0.3145833333333333 (~1/4),0.3333333333333333 (~1/4),96 (f)
73,0.7104166666666667 (~3/4),0.75 (3/4),96 (f)
54,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
76,0.7104166666666667 (~3/4),0.75 (3/4),96 (f)
57,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
71,0.7104166666666667 (~3/4),0.75 (3/4),96 (f)
61,0.2354166666666666 (~1/4),0.5 (1/2),96 (f)
87,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
78,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
65,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
76,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
72,0.2354166666666666 (~1/4),0.08333333333333333 (~3/32),96 (f)
57,0.63125 (~3/4),1.4166666666666667 (~9/8),96 (f)
59,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
68,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
55,0.2354166666666666 (~1/4),0.5 (1/2),96 (f)
85,3.0854166666666667 (~9/8),3.75 (~9/8),96 (f)
50,0.4729166666666666 (~1/2),0.5 (1/2),49 (ppp)
75,0.33125 (~1/4),0.3333333333333333 (~1/4),67 (p)
66,0.33125 (~1/4),0.13333333333333333 (~1/8),80 (mp)
64,0.53125 (~1/2),0.2 (~3/16),80 (mp)
53,0.3145833333333333 (~1/4),0.3145833333333333 (~1/4),80 (mp)
