event,duration,transition,velocity
74,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
65,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
82,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
52,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
63,0.1166666666666666 (~1/8),0.125 (1/8),112 (fff)
78,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
72,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
85,0.1166666666666666 (~1/8),0.125 (1/8),112 (fff)
63,0.1229166666666666 (~1/8),0.125 (1/8),49 (ppp)
52,0.2395833333333332 (~1/4),0.375 (~1/2),49 (ppp)
63,0.1166666666666666 (~1/8),0.125 (1/8),112 (fff)
85,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
72,0.1166666666666666 (~1/8),0.125 (1/8),112 (fff)
78,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
57,0.1166666666666666 (~1/8),0.375 (~1/2),80 (mp)
75,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
58,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
67,0.1166666666666666 (~1/8),0.125 (1/8),73 (mp)
62,0.2395833333333332 (~1/4),0.625 (~3/4),49 (ppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
58,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
75,0.1166666666666666 (~1/8),0.375 (~1/2),33 (pppp)
68,0.4979166666666667 (~1/2),0.25 (1/4),33 (pppp)
75,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
71,0.2354166666666666 (~1/4),0.25 (1/4),33 (pppp)
53,0.2354166666666666 (~1/4),0.5 (1/2),33 (pppp)
73,0.4979166666666667 (~1/2),0.25 (1/4),49 (ppp)
67,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
78,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
72,0.7333333333333333 (~3/4),0.75 (3/4),49 (ppp)
78,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
67,0.2354166666666666 (~1/4),0.25 (1/4),44 (ppp)
73,0.2354166666666666 (~1/4),0.5 (1/2),39 (pppp)
53,0.4979166666666667 (~1/2),0.25 (1/4),33 (pppp)
71,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
75,0.2354166666666666 (~1/4),0.25 (1/4),33 (pppp)
68,0.2354166666666666 (~1/4),0.5 (1/2),33 (pppp)
69,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
73,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
64,0.2354166666666666 (~1/4),0.25 (1/4),64 (p)
77,0.2479166666666666 (~1/4),0.25 (1/4),80 (mp)
74,0.2354166666666666 (~1/4),0.25 (1/4),80 (mp)
77,0.2354166666666666 (~1/4),0.25 (1/4),80 (mp)
64,0.2479166666666666 (~1/4),0.25 (1/4),80 (mp)
73,0.2479166666666666 (~1/4),0.25 (1/4),70 (p)
69,0.2354166666666666 (~1/4),0.5 (1/2),60 (pp)
56,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
74,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
66,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
57,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
64,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
67,0.48333333333333317 (~1/2),0.5 (1/2),49 (ppp)
64,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
58,0.2354166666666666 (~1/4),0.25 (1/4),41 (ppp)
54,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
85,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
80,0.2354166666666666 (~1/4),0.5 (1/2),33 (pppp)
85,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
87,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
79,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
81,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
66,0.2354166666666666 (~1/4),0.5 (1/2),41 (ppp)
79,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
87,0.2354166666666666 (~1/4),0.25 (1/4),33 (pppp)
85,0.4979166666666667 (~1/2),1.5 (~9/8),33 (pppp)
82,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
56,0.4729166666666666 (~1/2),1.0 (1),96 (f)
69,0.4958333333333332 (~1/2),1.5 (~9/8),49 (ppp)
61,0.9979166666666668 (~1),0.5 (1/2),96 (f)
77,0.9979166666666668 (~1),1.0 (1),96 (f)
47,0.1708333333333333 (~3/16),0.17291666666666666 (~3/16),49 (ppp)
50,0.1604166666666666 (~3/16),0.32708333333333334 (~1/4),49 (ppp)
91,0.1708333333333333 (~3/16),0.17291666666666666 (~3/16),49 (ppp)
88,0.1604166666666666 (~3/16),1.3270833333333334 (~9/8),49 (ppp)
77,0.4979166666666667 (~1/2),0.5 (1/2),115 (fff)
72,0.4979166666666667 (~1/2),1.0 (1),115 (fff)
88,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
50,0.4729166666666666 (~1/2),1.0 (1),49 (ppp)
56,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
82,0.4729166666666666 (~1/2),0.5 (1/2),96 (f)
91,0.2479166666666666 (~1/4),0.5 (1/2),49 (ppp)
47,0.2479166666666666 (~1/4),1.0 (1),49 (ppp)
63,0.1708333333333333 (~3/16),0.17291666666666666 (~3/16),112 (fff)
50,0.1604166666666666 (~3/16),0.32708333333333334 (~1/4),112 (fff)
75,0.1708333333333333 (~3/16),0.17291666666666666 (~3/16),112 (fff)
88,0.1604166666666666 (~3/16),0.8270833333333333 (~7/8),112 (fff)
66,0.9979166666666668 (~1),0.5 (1/2),96 (f)
72,0.9979166666666668 (~1),1.0 (1),96 (f)
52,0.1708333333333333 (~3/16),0.17291666666666666 (~3/16),49 (ppp)
55,0.1604166666666666 (~3/16),0.32708333333333334 (~1/4),49 (ppp)
86,0.1708333333333333 (~3/16),0.17291666666666666 (~3/16),49 (ppp)
83,0.1604166666666666 (~3/16),0.8270833333333333 (~7/8),49 (ppp)
82,0.4979166666666667 (~1/2),0.5 (1/2),127 (ffff)
67,0.4979166666666667 (~1/2),1.0 (1),127 (ffff)
69,0.4958333333333332 (~1/2),1.5 (~9/8),49 (ppp)
61,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
77,0.4729166666666666 (~1/2),0.5 (1/2),96 (f)
72,0.2479166666666666 (~1/4),0.5 (1/2),49 (ppp)
66,0.2479166666666666 (~1/4),1.0 (1),49 (ppp)
82,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
