event,duration,transition,velocity
64,2.0 (~9/8),0.5125 (~1/2),64 (p)
71,0.5 (1/2),0.475 (~1/2),64 (p)
54,0.5 (1/2),0.025 (~1/32),64 (p)
69,0.5 (1/2),0.475 (~1/2),64 (p)
56,0.5 (1/2),0.025 (~1/32),64 (p)
68,0.5 (1/2),0.475 (~1/2),64 (p)
57,1.0 (1),0.0125 (~1/64),64 (p)
63,4.0 (~9/8),0.0125 (~1/64),64 (p)
66,1.0 (1),0.975 (~1),64 (p)
54,1.0 (1),0.025 (~1/32),64 (p)
69,1.0 (1),0.975 (~1),64 (p)
71,3.0 (~9/8),0.025 (~1/32),64 (p)
68,1.0 (1),1.0 (1),64 (p)
66,1.0 (1),0.975 (~1),64 (p)
49,10.0 (~9/8),0.0125 (~1/64),64 (p)
61,8.0 (~9/8),0.0125 (~1/64),64 (p)
65,2.0 (~9/8),0.975 (~1),64 (p)
73,1.0 (1),1.0 (1),64 (p)
71,1.0 (1),0.025 (~1/32),64 (p)
66,3.0 (~9/8),0.975 (~1),64 (p)
69,1.0 (1),1.0 (1),64 (p)
68,2.0 (~9/8),1.025 (~1),64 (p)
64,5.0 (~9/8),0.975 (~1),64 (p)
70,1.0 (1),1.0 (1),64 (p)
71,1.0 (1),1.0 (1),64 (p)
73,2.0 (~9/8),0.0125 (~1/64),64 (p)
54,1.0 (1),1.0 (1),64 (p)
56,1.0 (1),0.9875 (~1),64 (p)
71,4.0 (~9/8),0.0125 (~1/64),64 (p)
58,1.0 (1),0.0125 (~1/64),64 (p)
63,2.0 (~9/8),0.9875 (~1),64 (p)
59,1.0 (1),0.9875 (~1),64 (p)
52,1.0 (1),0.0125 (~1/64),64 (p)
61,4.0 (~9/8),0.0125 (~1/64),64 (p)
64,5.0 (~9/8),0.975 (~1),64 (p)
51,1.0 (1),1.0 (1),64 (p)
70,2.0 (~9/8),1.0 (1),64 (p)
54,1.0 (1),1.0 (1),64 (p)
71,5.0 (~9/8),1.0 (1),64 (p)
54,1.0 (1),0.025 (~1/32),64 (p)
63,1.0 (1),0.975 (~1),64 (p)
56,1.0 (1),0.0125 (~1/64),64 (p)
64,2.0 (~9/8),0.9875 (~1),64 (p)
57,1.0 (1),0.025 (~1/32),64 (p)
66,0.5 (1/2),0.5 (1/2),64 (p)
68,0.5 (1/2),0.475 (~1/2),64 (p)
59,10.0 (~9/8),0.0125 (~1/64),64 (p)
63,2.0 (~9/8),0.0125 (~1/64),64 (p)
66,2.0 (~9/8),0.975 (~1),64 (p)
73,1.0 (1),1.0 (1),64 (p)
75,1.0 (1),0.0125 (~1/64),64 (p)
68,2.0 (~9/8),0.0125 (~1/64),64 (p)
71,3.0 (~9/8),0.975 (~1),64 (p)
76,3.0 (~9/8),1.0 (1),64 (p)
59,2.0 (~9/8),0.0125 (~1/64),64 (p)
66,4.0 (~9/8),1.0125 (~1),64 (p)
73,1.0 (1),0.975 (~1),64 (p)
75,2.0 (~9/8),0.025 (~1/32),64 (p)
71,1.0 (1),1.0 (1),64 (p)
69,1.0 (1),0.975 (~1),64 (p)
76,1.0 (1),0.0125 (~1/64),64 (p)
64,2.0 (~9/8),0.0125 (~1/64),64 (p)
68,2.0 (~9/8),0.975 (~1),64 (p)
75,1.0 (1),1.0 (1),64 (p)
76,1.0 (1),1.0 (1),64 (p)
78,1.0 (1),1.0 (1),64 (p)
80,0.5 (1/2),0.5 (1/2),64 (p)
78,0.5 (1/2),0.5 (1/2),64 (p)
80,0.5 (1/2),0.5 (1/2),64 (p)
81,0.5 (1/2),0.5 (1/2),64 (p)
80,0.5 (1/2),0.5 (1/2),64 (p)
78,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
80,0.5 (1/2),0.5 (1/2),64 (p)
78,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
78,0.5 (1/2),0.5 (1/2),64 (p)
80,0.5 (1/2),0.5 (1/2),64 (p)
78,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
78,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
78,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.0125 (~1/64),64 (p)
68,2.0 (~9/8),0.4875 (~1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.0125 (~1/64),64 (p)
67,2.0 (~9/8),0.4875 (~1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.0125 (~1/64),64 (p)
71,2.0 (~9/8),0.4875 (~1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
71,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
73,0.5 (1/2),0.0125 (~1/64),64 (p)
70,5.0 (~9/8),0.4875 (~1/2),64 (p)
71,0.5 (1/2),0.5 (1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
71,0.5 (1/2),0.5 (1/2),64 (p)
70,0.5 (1/2),0.5 (1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
71,2.5 (~9/8),0.5 (1/2),64 (p)
58,0.5 (1/2),0.5 (1/2),64 (p)
56,0.5 (1/2),0.0125 (~1/64),64 (p)
63,1.0 (1),0.4875 (~1/2),64 (p)
55,0.5 (1/2),0.5 (1/2),64 (p)
56,0.5 (1/2),0.0125 (~1/64),64 (p)
68,3.0 (~9/8),0.4875 (~1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
71,0.5 (1/2),0.5 (1/2),64 (p)
73,3.0 (~9/8),0.5 (1/2),64 (p)
