event,duration,transition,velocity
pause,0.5 (1/2),0.5 (1/2),0
60,0.5 (1/2),0.5 (1/2),64 (p)
62,0.5 (1/2),0.5 (1/2),64 (p)
64,0.5 (1/2),0.5 (1/2),64 (p)
65,0.75 (3/4),0.75 (3/4),64 (p)
67,0.125 (1/8),0.13333333333333333 (~1/8),64 (p)
65,0.125 (1/8),0.11666666666666667 (~1/8),64 (p)
64,0.5 (1/2),0.5 (1/2),64 (p)
69,0.5 (1/2),0.5 (1/2),64 (p)
62,0.5 (1/2),0.5 (1/2),64 (p)
67,0.6958333333333333 (~3/4),0.75 (3/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
65,0.25 (1/4),0.25 (1/4),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
65,0.25 (1/4),0.25 (1/4),64 (p)
67,0.5 (1/2),0.25 (1/4),64 (p)
62,0.25 (1/4),0.25 (1/4),64 (p)
69,0.5 (1/2),0.25 (1/4),64 (p)
62,0.25 (1/4),0.25 (1/4),64 (p)
71,0.5 (1/2),0.25 (1/4),64 (p)
59,0.25 (1/4),0.25 (1/4),64 (p)
72,0.75 (3/4),0.5 (1/2),64 (p)
66,0.5 (1/2),0.25 (1/4),64 (p)
74,0.125 (1/8),0.13333333333333333 (~1/8),64 (p)
72,0.125 (1/8),0.11666666666666667 (~1/8),64 (p)
71,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
69,0.5 (1/2),0.5 (1/2),64 (p)
74,0.7083333333333334 (~3/4),0.25 (1/4),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
65,0.5 (1/2),0.2625 (~1/4),64 (p)
76,0.25 (1/4),0.2375 (~1/4),64 (p)
62,0.5 (1/2),0.0125 (~1/64),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.2375 (~1/4),64 (p)
67,0.5 (1/2),0.0125 (~1/64),64 (p)
71,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.2375 (~1/4),64 (p)
65,0.5 (1/2),0.0125 (~1/64),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
71,0.25 (1/4),0.2375 (~1/4),64 (p)
64,0.5 (1/2),0.0125 (~1/64),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
71,0.25 (1/4),0.2375 (~1/4),64 (p)
62,0.5 (1/2),0.0125 (~1/64),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.2375 (~1/4),64 (p)
60,0.75 (3/4),0.0125 (~1/64),64 (p)
76,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.2375 (~1/4),64 (p)
62,0.125 (1/8),0.0125 (~1/64),64 (p)
78,0.25 (1/4),0.12083333333333333 (~1/8),64 (p)
60,0.125 (1/8),0.11666666666666667 (~1/8),64 (p)
59,0.5 (1/2),0.0125 (~1/64),64 (p)
79,0.5 (1/2),0.4875 (~1/2),64 (p)
67,1.0 (1),0.0125 (~1/64),64 (p)
71,0.5 (1/2),0.4875 (~1/2),64 (p)
57,0.5 (1/2),0.0125 (~1/64),64 (p)
72,0.5 (1/2),0.4875 (~1/2),64 (p)
65,0.25 (1/4),0.0125 (~1/64),64 (p)
69,0.5 (1/2),0.2375 (~1/4),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
65,1.1666666666666667 (~9/8),0.0125 (~1/64),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
71,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
67,0.7083333333333334 (~3/4),0.2375 (~1/4),64 (p)
65,0.25 (1/4),0.25 (1/4),64 (p)
64,0.5 (1/2),0.0125 (~1/64),64 (p)
60,1.0 (1),0.2625 (~1/4),64 (p)
67,0.25 (1/4),0.225 (~1/4),64 (p)
62,1.0 (1),0.025 (~1/32),64 (p)
65,0.25 (1/4),0.25 (1/4),64 (p)
64,0.25 (1/4),0.225 (~1/4),64 (p)
52,0.5 (1/2),0.0125 (~1/64),64 (p)
58,0.5 (1/2),0.0125 (~1/64),64 (p)
65,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.225 (~1/4),64 (p)
60,0.5 (1/2),0.0125 (~1/64),64 (p)
57,0.5 (1/2),0.0125 (~1/64),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.225 (~1/4),64 (p)
65,0.5 (1/2),0.0125 (~1/64),64 (p)
62,0.5 (1/2),0.0125 (~1/64),64 (p)
69,0.25 (1/4),0.225 (~1/4),64 (p)
55,0.125 (1/8),0.025 (~1/32),64 (p)
71,0.25 (1/4),0.10833333333333334 (~3/32),64 (p)
53,0.125 (1/8),0.11666666666666667 (~1/8),64 (p)
52,0.5 (1/2),0.0125 (~1/64),64 (p)
55,0.5 (1/2),0.0125 (~1/64),64 (p)
72,2.0 (~9/8),0.225 (~1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
65,0.25 (1/4),0.0125 (~1/64),64 (p)
60,0.5 (1/2),0.2375 (~1/4),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
65,0.5 (1/2),0.2625 (~1/4),64 (p)
57,0.25 (1/4),0.2375 (~1/4),64 (p)
62,0.5 (1/2),0.0125 (~1/64),64 (p)
59,0.25 (1/4),0.25 (1/4),64 (p)
