event,duration,transition,velocity
50,0.9583333333333334 (~1),0.75 (3/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
65,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
62,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
69,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
65,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
62,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
74,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
70,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
67,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
70,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
67,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
64,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
67,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
64,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
61,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
67,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
64,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
61,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
69,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
65,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
62,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
69,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
65,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
62,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
81,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
77,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
74,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
77,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
74,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
69,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
74,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
70,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
67,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
74,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
70,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
67,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
79,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
76,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
72,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
76,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
72,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
67,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
72,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
69,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
65,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
72,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
69,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
65,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
77,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
74,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
70,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
74,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
70,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
67,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
79,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
76,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
72,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
76,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
72,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
69,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
81,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
77,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
74,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
77,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
74,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
70,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
82,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
79,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
76,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
79,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
76,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
72,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
84,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
81,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
77,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
81,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
77,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
72,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
81,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
77,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
74,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
77,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
74,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
69,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
77,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
74,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
