event,duration,transition,velocity
pause,10.0 (~9/8),10.0 (~9/8),0
54,1.0 (1),0.32083333333333336 (~1/4),64 (p)
66,0.5 (1/2),0.17916666666666667 (~3/16),64 (p)
83,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
65,1.0 (1),0.17916666666666667 (~3/16),64 (p)
82,0.5 (1/2),0.5 (1/2),64 (p)
80,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
63,1.0 (1),0.17916666666666667 (~3/16),64 (p)
79,0.5 (1/2),0.5 (1/2),64 (p)
80,0.5 (1/2),0.5 (1/2),64 (p)
82,1.0 (1),0.32083333333333336 (~1/4),64 (p)
61,0.5 (1/2),0.17916666666666667 (~3/16),64 (p)
58,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
70,0.5 (1/2),0.17916666666666667 (~3/16),64 (p)
75,1.0 (1),0.32083333333333336 (~1/4),64 (p)
69,0.5 (1/2),0.17916666666666667 (~3/16),64 (p)
55,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
70,1.0 (1),0.17916666666666667 (~3/16),64 (p)
80,1.5 (~9/8),0.5 (1/2),64 (p)
58,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
69,1.0 (1),0.17916666666666667 (~3/16),64 (p)
60,1.0 (1),0.5 (1/2),64 (p)
78,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
70,1.0 (1),0.17916666666666667 (~3/16),64 (p)
77,2.0 (~9/8),0.5 (1/2),64 (p)
59,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
75,1.5 (~9/8),0.17916666666666667 (~3/16),64 (p)
58,0.5 (1/2),0.5 (1/2),64 (p)
56,0.5 (1/2),0.5 (1/2),64 (p)
75,2.0 (~9/8),0.32083333333333336 (~1/4),64 (p)
77,0.5 (1/2),0.17916666666666667 (~3/16),64 (p)
51,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
75,1.5 (~9/8),0.17916666666666667 (~3/16),64 (p)
56,0.5 (1/2),0.5 (1/2),64 (p)
58,0.5 (1/2),0.5 (1/2),64 (p)
80,1.5 (~9/8),0.32083333333333336 (~1/4),64 (p)
73,0.5 (1/2),0.17916666666666667 (~3/16),64 (p)
54,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
72,1.5 (~9/8),0.17916666666666667 (~3/16),64 (p)
53,0.5 (1/2),0.5 (1/2),64 (p)
82,0.5 (1/2),0.5 (1/2),64 (p)
80,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
73,0.5 (1/2),0.17916666666666667 (~3/16),64 (p)
78,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
75,1.0 (1),0.17916666666666667 (~3/16),64 (p)
77,0.5 (1/2),0.5 (1/2),64 (p)
78,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
68,1.0 (1),0.17916666666666667 (~3/16),64 (p)
80,1.0 (1),0.5 (1/2),64 (p)
56,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
73,3.0 (~9/8),0.6791666666666667 (~3/4),64 (p)
56,0.5 (1/2),0.5 (1/2),64 (p)
78,1.5 (~9/8),0.5 (1/2),64 (p)
52,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
72,1.0 (1),0.17916666666666667 (~3/16),64 (p)
51,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
80,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
68,1.0 (1),0.17916666666666667 (~3/16),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
78,1.0 (1),0.32083333333333336 (~1/4),64 (p)
73,1.5 (~9/8),0.17916666666666667 (~3/16),64 (p)
49,0.5 (1/2),0.5 (1/2),64 (p)
77,0.5 (1/2),0.5 (1/2),64 (p)
78,1.0 (1),0.32083333333333336 (~1/4),64 (p)
75,0.5 (1/2),0.17916666666666667 (~3/16),64 (p)
