event,duration,transition,velocity
76,2.5 (~9/8),0.25 (1/4),68 (p)
55,0.25 (1/4),0.25 (1/4),56 (pp)
57,0.25 (1/4),0.25 (1/4),56 (pp)
59,0.25 (1/4),0.25 (1/4),56 (pp)
57,0.25 (1/4),0.25 (1/4),56 (pp)
59,0.25 (1/4),0.25 (1/4),56 (pp)
57,0.25 (1/4),0.25 (1/4),56 (pp)
55,0.25 (1/4),0.25 (1/4),56 (pp)
71,0.5 (1/2),0.25 (1/4),54 (pp)
55,0.25 (1/4),0.25 (1/4),56 (pp)
78,0.125 (1/8),0.125 (1/8),68 (p)
76,0.125 (1/8),0.125 (1/8),68 (p)
75,0.125 (1/8),0.125 (1/8),68 (p)
76,0.125 (1/8),0.125 (1/8),68 (p)
78,0.0708333333333333 (~1/16),0.0625 (1/16),72 (mp)
76,0.0708333333333333 (~1/16),0.0625 (1/16),52 (pp)
78,0.0708333333333333 (~1/16),0.0625 (1/16),54 (pp)
76,0.0708333333333333 (~1/16),0.0625 (1/16),57 (pp)
78,0.0708333333333333 (~1/16),0.0625 (1/16),59 (pp)
76,0.4375 (~1/2),0.1875 (3/16),72 (mp)
57,0.25 (1/4),0.25 (1/4),56 (pp)
75,0.125 (1/8),0.125 (1/8),68 (p)
76,0.125 (1/8),0.125 (1/8),68 (p)
78,4.25 (~9/8),0.25 (1/4),68 (p)
57,0.25 (1/4),0.25 (1/4),56 (pp)
59,0.25 (1/4),0.25 (1/4),56 (pp)
60,0.25 (1/4),0.25 (1/4),56 (pp)
59,0.25 (1/4),0.25 (1/4),56 (pp)
60,0.25 (1/4),0.25 (1/4),56 (pp)
59,0.25 (1/4),0.25 (1/4),56 (pp)
57,0.25 (1/4),0.25 (1/4),56 (pp)
72,0.5 (1/2),0.25 (1/4),54 (pp)
57,0.25 (1/4),0.25 (1/4),56 (pp)
59,0.25 (1/4),0.25 (1/4),56 (pp)
60,0.25 (1/4),0.25 (1/4),56 (pp)
59,0.25 (1/4),0.25 (1/4),56 (pp)
60,0.25 (1/4),0.25 (1/4),56 (pp)
59,0.25 (1/4),0.25 (1/4),56 (pp)
57,0.25 (1/4),0.25 (1/4),56 (pp)
72,0.5 (1/2),0.25 (1/4),54 (pp)
76,0.25 (1/4),0.25 (1/4),68 (p)
75,0.25 (1/4),0.25 (1/4),72 (mp)
76,0.1666666666666666 (~3/16),0.25 (1/4),60 (pp)
78,0.25 (1/4),0.25 (1/4),72 (mp)
76,0.1666666666666666 (~3/16),0.25 (1/4),60 (pp)
79,0.25 (1/4),0.25 (1/4),72 (mp)
78,0.1666666666666666 (~3/16),0.25 (1/4),60 (pp)
81,1.125 (9/8),0.25 (1/4),68 (p)
57,0.25 (1/4),0.25 (1/4),56 (pp)
59,0.25 (1/4),0.25 (1/4),56 (pp)
60,0.25 (1/4),0.25 (1/4),56 (pp)
59,0.25 (1/4),0.125 (1/8),56 (pp)
84,0.125 (1/8),0.125 (1/8),68 (p)
83,0.125 (1/8),0.125 (1/8),68 (p)
81,0.125 (1/8),0.125 (1/8),68 (p)
79,0.25 (1/4),0.25 (1/4),68 (p)
81,0.125 (1/8),0.125 (1/8),68 (p)
78,0.125 (1/8),0.125 (1/8),68 (p)
79,2.5 (~9/8),0.25 (1/4),68 (p)
55,0.25 (1/4),0.25 (1/4),56 (pp)
57,0.25 (1/4),0.25 (1/4),56 (pp)
59,0.25 (1/4),0.25 (1/4),56 (pp)
57,0.25 (1/4),0.25 (1/4),56 (pp)
59,0.25 (1/4),0.25 (1/4),56 (pp)
57,0.25 (1/4),0.25 (1/4),56 (pp)
55,0.25 (1/4),0.25 (1/4),56 (pp)
76,0.5 (1/2),0.25 (1/4),54 (pp)
55,0.25 (1/4),0.25 (1/4),56 (pp)
84,0.25 (1/4),0.25 (1/4),68 (p)
83,0.25 (1/4),0.25 (1/4),68 (p)
84,0.5 (1/2),0.25 (1/4),68 (p)
59,0.25 (1/4),0.25 (1/4),56 (pp)
76,0.5 (1/2),0.25 (1/4),68 (p)
55,0.25 (1/4),0.25 (1/4),56 (pp)
78,2.5 (~9/8),0.25 (1/4),68 (p)
54,0.25 (1/4),0.25 (1/4),56 (pp)
55,0.25 (1/4),0.25 (1/4),56 (pp)
57,0.25 (1/4),0.25 (1/4),56 (pp)
55,0.25 (1/4),0.25 (1/4),56 (pp)
57,0.25 (1/4),0.25 (1/4),56 (pp)
55,0.25 (1/4),0.25 (1/4),56 (pp)
54,0.25 (1/4),0.25 (1/4),56 (pp)
74,0.5 (1/2),0.25 (1/4),54 (pp)
54,0.25 (1/4),0.25 (1/4),56 (pp)
83,0.625 (~3/4),0.25 (1/4),68 (p)
57,0.25 (1/4),0.25 (1/4),56 (pp)
55,0.25 (1/4),0.125 (1/8),56 (pp)
84,0.125 (1/8),0.125 (1/8),68 (p)
83,0.125 (1/8),0.125 (1/8),68 (p)
81,0.125 (1/8),0.125 (1/8),68 (p)
83,0.125 (1/8),0.125 (1/8),68 (p)
79,0.125 (1/8),0.125 (1/8),68 (p)
81,0.125 (1/8),0.125 (1/8),68 (p)
83,0.125 (1/8),0.125 (1/8),68 (p)
76,2.25 (~9/8),0.25 (1/4),68 (p)
52,0.25 (1/4),0.25 (1/4),56 (pp)
54,0.25 (1/4),0.25 (1/4),56 (pp)
55,0.25 (1/4),0.25 (1/4),56 (pp)
54,0.25 (1/4),0.25 (1/4),56 (pp)
55,0.25 (1/4),0.25 (1/4),56 (pp)
