event,duration,transition,velocity
60,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
64,1.5625 (~9/8),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.2625 (~1/4),64 (p)
60,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
64,1.6583333333333334 (~9/8),0.2375 (~1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.275 (~1/4),64 (p)
60,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
62,1.6208333333333331 (~9/8),0.225 (~1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.2875 (~1/4),64 (p)
60,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
62,1.5208333333333333 (~9/8),0.2125 (~3/16),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.3 (~1/4),64 (p)
59,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
62,1.625 (~9/8),0.2 (~3/16),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.3125 (~1/4),64 (p)
59,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
62,1.5708333333333333 (~9/8),0.1875 (3/16),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.325 (~1/4),64 (p)
60,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
64,1.6208333333333331 (~9/8),0.175 (~3/16),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.3375 (~1/4),64 (p)
60,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
64,1.5875 (~9/8),0.1625 (~3/16),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.35 (~1/4),64 (p)
60,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
64,1.6125 (~9/8),0.15 (~1/8),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.25 (1/4),64 (p)
81,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.25 (1/4),64 (p)
81,0.25 (1/4),0.3625 (~1/4),64 (p)
60,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
64,1.5541666666666667 (~9/8),0.1375 (~1/8),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.25 (1/4),64 (p)
81,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.25 (1/4),64 (p)
81,0.25 (1/4),0.375 (~1/2),64 (p)
60,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
62,1.4916666666666667 (~9/8),0.125 (1/8),64 (p)
66,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
66,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.3875 (~1/2),64 (p)
60,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
62,1.5833333333333333 (~9/8),0.1125 (~1/8),64 (p)
66,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
66,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.4 (~1/2),64 (p)
59,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
62,1.5791666666666666 (~9/8),0.1 (~3/32),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
79,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
79,0.25 (1/4),0.4125 (~1/2),64 (p)
59,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
62,1.5375 (~9/8),0.0875 (~3/32),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
79,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
79,0.25 (1/4),0.425 (~1/2),64 (p)
59,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
60,1.5958333333333334 (~9/8),0.075 (~1/16),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.4375 (~1/2),64 (p)
59,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
60,1.5916666666666666 (~9/8),0.0625 (1/16),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.45 (~1/2),64 (p)
57,1.9583333333333333 (~9/8),0.25 (1/4),64 (p)
60,1.6125 (~9/8),0.05 (~1/16),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
