event,duration,transition,velocity
pause,1.0 (1),1.0 (1),0
50,0.125 (1/8),0.125 (1/8),72 (mp)
52,0.125 (1/8),0.125 (1/8),64 (p)
54,0.125 (1/8),0.125 (1/8),44 (ppp)
55,0.125 (1/8),0.125 (1/8),47 (ppp)
54,0.125 (1/8),0.125 (1/8),50 (ppp)
52,0.125 (1/8),0.125 (1/8),53 (pp)
54,0.125 (1/8),0.125 (1/8),56 (pp)
50,0.125 (1/8),0.125 (1/8),59 (pp)
59,0.0958333333333333 (~3/32),0.08333333333333333 (~3/32),68 (p)
57,0.0958333333333333 (~3/32),0.08333333333333333 (~3/32),56 (pp)
59,0.7916666666666666 (~3/4),0.8458333333333333 (~7/8),64 (p)
57,0.0958333333333333 (~3/32),0.08333333333333333 (~3/32),68 (p)
59,0.0958333333333333 (~3/32),0.08333333333333333 (~3/32),56 (pp)
57,0.5833333333333334 (~1/2),0.5833333333333334 (~1/2),64 (p)
55,0.25 (1/4),0.25 (1/4),64 (p)
54,0.7083333333333334 (~3/4),0.7625 (~3/4),64 (p)
55,0.25 (1/4),0.225 (~1/4),64 (p)
57,0.125 (1/8),0.025 (~1/32),72 (mp)
54,0.75 (3/4),0.1 (~3/32),64 (p)
59,0.125 (1/8),0.125 (1/8),41 (ppp)
61,0.125 (1/8),0.125 (1/8),44 (ppp)
62,0.125 (1/8),0.125 (1/8),47 (ppp)
61,0.125 (1/8),0.125 (1/8),50 (ppp)
59,0.125 (1/8),0.125 (1/8),53 (pp)
61,0.125 (1/8),0.025 (~1/32),56 (pp)
52,0.25 (1/4),0.1 (~3/32),64 (p)
57,0.125 (1/8),0.125 (1/8),59 (pp)
66,0.0958333333333333 (~3/32),0.025 (~1/32),68 (p)
50,1.0 (1),0.058333333333333334 (~1/16),64 (p)
64,0.0958333333333333 (~3/32),0.08333333333333333 (~3/32),56 (pp)
66,0.7916666666666666 (~3/4),0.8458333333333333 (~7/8),64 (p)
64,0.0958333333333333 (~3/32),0.0125 (~1/64),68 (p)
52,1.0 (1),0.07083333333333333 (~1/16),64 (p)
66,0.0958333333333333 (~3/32),0.08333333333333333 (~3/32),56 (pp)
64,0.5833333333333334 (~1/2),0.5833333333333334 (~1/2),64 (p)
62,0.25 (1/4),0.25 (1/4),64 (p)
61,1.0 (1),0.0125 (~1/64),64 (p)
45,0.625 (~3/4),0.625 (~3/4),64 (p)
52,0.125 (1/8),0.125 (1/8),64 (p)
54,0.125 (1/8),0.125 (1/8),64 (p)
55,0.125 (1/8),0.1125 (~1/8),64 (p)
66,0.0958333333333333 (~3/32),0.0125 (~1/64),64 (p)
57,2.0 (~9/8),0.07083333333333333 (~1/16),64 (p)
64,0.0958333333333333 (~3/32),0.08333333333333333 (~3/32),56 (pp)
66,0.7916666666666666 (~3/4),0.8458333333333333 (~7/8),64 (p)
59,0.7083333333333334 (~3/4),0.7625 (~3/4),64 (p)
61,0.125 (1/8),0.125 (1/8),64 (p)
62,0.125 (1/8),0.1125 (~1/8),64 (p)
55,1.75 (~9/8),0.0125 (~1/64),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
62,0.25 (1/4),0.25 (1/4),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
61,0.25 (1/4),0.25 (1/4),64 (p)
57,1.0 (1),0.7375 (~3/4),64 (p)
54,0.125 (1/8),0.125 (1/8),64 (p)
52,0.125 (1/8),0.125 (1/8),64 (p)
54,0.75 (3/4),0.0125 (~1/64),64 (p)
62,2.0 (~9/8),0.0875 (~3/32),68 (p)
64,0.125 (1/8),0.125 (1/8),42 (ppp)
66,0.125 (1/8),0.125 (1/8),45 (ppp)
67,0.125 (1/8),0.125 (1/8),48 (ppp)
66,0.125 (1/8),0.125 (1/8),50 (ppp)
64,0.125 (1/8),0.125 (1/8),53 (pp)
66,0.125 (1/8),0.025 (~1/32),56 (pp)
50,0.25 (1/4),0.1 (~3/32),64 (p)
62,0.125 (1/8),0.125 (1/8),59 (pp)
71,0.7083333333333334 (~3/4),0.025 (~1/32),64 (p)
55,0.75 (3/4),0.7375 (~3/4),64 (p)
71,0.25 (1/4),0.0125 (~1/64),64 (p)
52,0.25 (1/4),0.2375 (~1/4),64 (p)
69,0.75 (3/4),0.0125 (~1/64),64 (p)
57,0.75 (3/4),0.0125 (~1/64),64 (p)
61,1.0 (1),0.725 (~3/4),64 (p)
67,0.25 (1/4),0.0125 (~1/64),64 (p)
45,0.25 (1/4),0.2375 (~1/4),64 (p)
66,0.75 (3/4),0.0125 (~1/64),64 (p)
50,0.75 (3/4),0.0125 (~1/64),64 (p)
62,1.0 (1),0.725 (~3/4),64 (p)
68,0.25 (1/4),0.0125 (~1/64),64 (p)
52,0.25 (1/4),0.225 (~1/4),64 (p)
61,1.0 (1),0.025 (~1/32),64 (p)
54,0.75 (3/4),0.0125 (~1/64),64 (p)
69,2.0 (~9/8),0.1 (~3/32),68 (p)
71,0.125 (1/8),0.125 (1/8),41 (ppp)
73,0.125 (1/8),0.125 (1/8),44 (ppp)
74,0.125 (1/8),0.125 (1/8),47 (ppp)
73,0.125 (1/8),0.125 (1/8),50 (ppp)
71,0.125 (1/8),0.125 (1/8),53 (pp)
73,0.125 (1/8),0.0125 (~1/64),56 (pp)
52,0.25 (1/4),0.1125 (~1/8),64 (p)
69,0.125 (1/8),0.1125 (~1/8),59 (pp)
59,2.0 (~9/8),0.0125 (~1/64),64 (p)
78,0.7083333333333334 (~3/4),0.0125 (~1/64),64 (p)
50,0.75 (3/4),0.75 (3/4),64 (p)
78,0.25 (1/4),0.25 (1/4),64 (p)
76,0.75 (3/4),0.0125 (~1/64),64 (p)
68,1.0 (1),0.7375 (~3/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
73,0.625 (~3/4),0.0125 (~1/64),64 (p)
69,1.0 (1),0.6125 (~1/2),64 (p)
76,0.125 (1/8),0.125 (1/8),64 (p)
78,0.125 (1/8),0.125 (1/8),64 (p)
79,0.125 (1/8),0.1 (~3/32),64 (p)
66,0.125 (1/8),0.025 (~1/32),72 (mp)
81,0.7083333333333334 (~3/4),0.0125 (~1/64),64 (p)
73,1.0 (1),0.0875 (~3/32),64 (p)
67,0.125 (1/8),0.125 (1/8),42 (ppp)
69,0.125 (1/8),0.125 (1/8),45 (ppp)
71,0.125 (1/8),0.125 (1/8),47 (ppp)
69,0.125 (1/8),0.125 (1/8),50 (ppp)
67,0.125 (1/8),0.125 (1/8),53 (pp)
69,0.125 (1/8),0.0375 (~1/32),56 (pp)
81,0.2083333333333333 (~3/16),0.0875 (~3/32),64 (p)
66,0.125 (1/8),0.125 (1/8),59 (pp)
