event,duration,transition,velocity
pause,1.5 (~9/8),1.5 (~9/8),0
64,0.5 (1/2),0.5 (1/2),79 (mp)
66,1.0 (1),1.25 (~9/8),79 (mp)
59,0.25 (1/4),0.25 (1/4),64 (p)
61,0.25 (1/4),0.25 (1/4),64 (p)
63,0.25 (1/4),0.25 (1/4),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
63,0.25 (1/4),0.25 (1/4),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
66,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
71,0.5 (1/2),0.25 (1/4),79 (mp)
68,0.25 (1/4),0.25 (1/4),64 (p)
73,1.0 (1),0.25 (1/4),79 (mp)
63,0.25 (1/4),0.25 (1/4),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
66,0.25 (1/4),0.25 (1/4),64 (p)
64,0.25 (1/4),0.25 (1/4),64 (p)
66,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
70,0.25 (1/4),0.25 (1/4),64 (p)
71,0.25 (1/4),0.25 (1/4),64 (p)
70,0.25 (1/4),0.25 (1/4),64 (p)
71,0.25 (1/4),0.25 (1/4),64 (p)
73,0.25 (1/4),0.25 (1/4),64 (p)
75,0.25 (1/4),0.25 (1/4),64 (p)
76,0.25 (1/4),0.25 (1/4),64 (p)
78,0.25 (1/4),0.25 (1/4),64 (p)
75,0.25 (1/4),0.25 (1/4),64 (p)
71,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
71,0.25 (1/4),0.25 (1/4),64 (p)
73,0.25 (1/4),0.25 (1/4),64 (p)
71,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
71,0.25 (1/4),0.25 (1/4),64 (p)
73,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
71,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
71,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
66,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
70,0.25 (1/4),0.25 (1/4),64 (p)
71,2.0 (~9/8),0.25 (1/4),64 (p)
57,0.25 (1/4),0.25 (1/4),64 (p)
63,0.5 (1/2),0.25 (1/4),64 (p)
56,0.25 (1/4),0.25 (1/4),64 (p)
61,2.0 (~9/8),0.25 (1/4),64 (p)
51,0.25 (1/4),0.25 (1/4),64 (p)
52,0.25 (1/4),0.25 (1/4),64 (p)
54,0.25 (1/4),0.25 (1/4),64 (p)
70,1.0 (1),0.25 (1/4),64 (p)
51,0.25 (1/4),0.25 (1/4),64 (p)
52,0.25 (1/4),0.25 (1/4),64 (p)
54,0.25 (1/4),0.25 (1/4),64 (p)
71,0.5 (1/2),0.25 (1/4),64 (p)
49,0.25 (1/4),0.25 (1/4),64 (p)
83,0.5 (1/2),0.25 (1/4),64 (p)
52,0.25 (1/4),0.25 (1/4),64 (p)
75,0.5 (1/2),0.25 (1/4),64 (p)
56,0.25 (1/4),0.25 (1/4),64 (p)
78,0.5 (1/2),0.25 (1/4),64 (p)
54,0.25 (1/4),0.25 (1/4),64 (p)
71,2.0 (~9/8),0.25 (1/4),64 (p)
54,0.25 (1/4),0.25 (1/4),64 (p)
76,0.5 (1/2),0.25 (1/4),64 (p)
57,0.25 (1/4),0.25 (1/4),64 (p)
68,0.5 (1/2),0.25 (1/4),64 (p)
61,0.25 (1/4),0.25 (1/4),64 (p)
71,0.5 (1/2),0.25 (1/4),64 (p)
59,0.25 (1/4),0.25 (1/4),64 (p)
64,0.5 (1/2),0.25 (1/4),64 (p)
59,0.25 (1/4),0.25 (1/4),64 (p)
69,0.5 (1/2),0.25 (1/4),64 (p)
63,0.25 (1/4),0.25 (1/4),64 (p)
68,0.5 (1/2),0.25 (1/4),64 (p)
63,0.25 (1/4),0.25 (1/4),64 (p)
76,0.5 (1/2),0.25 (1/4),74 (mp)
59,0.25 (1/4),0.25 (1/4),64 (p)
78,1.0 (1),0.25 (1/4),74 (mp)
56,0.25 (1/4),0.25 (1/4),64 (p)
57,0.25 (1/4),0.25 (1/4),64 (p)
59,0.25 (1/4),0.25 (1/4),64 (p)
