event,duration,transition,velocity
43,0.25 (1/4),0.225 (~1/4),64 (p)
75,2.0 (~9/8),0.025 (~1/32),64 (p)
48,1.75 (~9/8),0.25 (1/4),64 (p)
51,0.25 (1/4),0.25 (1/4),64 (p)
53,0.25 (1/4),0.25 (1/4),64 (p)
55,0.25 (1/4),0.25 (1/4),64 (p)
53,0.25 (1/4),0.25 (1/4),64 (p)
51,0.25 (1/4),0.25 (1/4),64 (p)
50,0.25 (1/4),0.25 (1/4),64 (p)
48,0.25 (1/4),0.25 (1/4),64 (p)
57,2.0 (~9/8),0.225 (~1/4),64 (p)
75,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.25 (1/4),64 (p)
79,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.25 (1/4),64 (p)
75,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
74,0.125 (1/8),0.025 (~1/32),64 (p)
58,4.0 (~9/8),0.1 (~3/32),64 (p)
72,0.125 (1/8),0.125 (1/8),64 (p)
74,0.125 (1/8),0.125 (1/8),64 (p)
75,0.125 (1/8),0.125 (1/8),64 (p)
74,0.125 (1/8),0.125 (1/8),64 (p)
72,0.125 (1/8),0.125 (1/8),64 (p)
70,0.125 (1/8),0.125 (1/8),64 (p)
69,0.125 (1/8),0.125 (1/8),64 (p)
70,0.125 (1/8),0.125 (1/8),64 (p)
69,0.125 (1/8),0.125 (1/8),64 (p)
70,0.125 (1/8),0.125 (1/8),64 (p)
72,0.125 (1/8),0.125 (1/8),64 (p)
70,0.125 (1/8),0.125 (1/8),64 (p)
68,0.125 (1/8),0.125 (1/8),64 (p)
67,0.125 (1/8),0.125 (1/8),64 (p)
65,0.125 (1/8),0.125 (1/8),64 (p)
67,0.125 (1/8),0.125 (1/8),64 (p)
65,0.125 (1/8),0.125 (1/8),64 (p)
67,0.125 (1/8),0.125 (1/8),64 (p)
68,0.125 (1/8),0.125 (1/8),64 (p)
67,0.125 (1/8),0.125 (1/8),64 (p)
65,0.125 (1/8),0.125 (1/8),64 (p)
63,0.125 (1/8),0.125 (1/8),64 (p)
62,0.125 (1/8),0.125 (1/8),64 (p)
63,0.125 (1/8),0.125 (1/8),64 (p)
62,0.125 (1/8),0.125 (1/8),64 (p)
63,0.125 (1/8),0.125 (1/8),64 (p)
65,0.125 (1/8),0.125 (1/8),64 (p)
63,0.125 (1/8),0.125 (1/8),64 (p)
62,0.125 (1/8),0.125 (1/8),64 (p)
60,0.125 (1/8),0.125 (1/8),64 (p)
