event,duration,transition,velocity
70,1.9583333333333333 (~9/8),2.0125 (~9/8),56 (pp)
66,1.9583333333333333 (~9/8),1.5 (~9/8),56 (pp)
70,0.5125 (~1/2),0.5125 (~1/2),64 (p)
75,1.5 (~9/8),1.5 (~9/8),64 (p)
78,0.5125 (~1/2),0.5125 (~1/2),64 (p)
71,3.9166666666666665 (~9/8),3.5125 (~9/8),56 (pp)
75,0.5125 (~1/2),0.5125 (~1/2),64 (p)
80,1.5 (~9/8),1.5 (~9/8),64 (p)
83,0.5125 (~1/2),0.5125 (~1/2),64 (p)
74,1.9583333333333333 (~9/8),2.0125 (~9/8),64 (p)
68,1.9583333333333333 (~9/8),1.5 (~9/8),56 (pp)
77,0.5125 (~1/2),0.5125 (~1/2),64 (p)
70,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),74 (mp)
68,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),45 (ppp)
70,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),51 (pp)
68,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),58 (pp)
70,0.0833333333333333 (~3/32),0.08333333333333333 (~3/32),52 (pp)
68,0.8333333333333334 (~7/8),0.8333333333333334 (~7/8),76 (mp)
66,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
70,0.2625 (~1/4),0.2625 (~1/4),64 (p)
68,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),72 (mp)
66,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),42 (ppp)
68,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),47 (ppp)
66,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),51 (pp)
68,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),55 (pp)
66,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),59 (pp)
68,0.0833333333333333 (~3/32),0.08333333333333333 (~3/32),73 (mp)
66,0.9166666666666666 (~7/8),0.9166666666666666 (~7/8),76 (mp)
65,0.25 (1/4),0.25 (1/4),64 (p)
63,0.2083333333333333 (~3/16),0.2625 (~1/4),64 (p)
78,1.9583333333333333 (~9/8),1.375 (~9/8),64 (p)
58,0.5 (1/2),0.5 (1/2),64 (p)
54,1.5 (~9/8),0.1375 (~1/8),64 (p)
66,1.9958333333333331 (~9/8),0.05416666666666667 (~1/16),56 (pp)
70,1.9416666666666669 (~9/8),0.05416666666666667 (~1/16),56 (pp)
75,1.8875 (~9/8),0.05416666666666667 (~1/16),56 (pp)
78,1.8333333333333333 (~9/8),1.2 (~9/8),56 (pp)
51,0.5 (1/2),0.5 (1/2),64 (p)
