event,duration,transition,velocity
68,0.5 (1/2),0.5 (1/2),64 (p)
66,0.5 (1/2),0.5 (1/2),64 (p)
64,0.5 (1/2),0.5 (1/2),64 (p)
63,0.5 (1/2),0.5 (1/2),64 (p)
64,0.5 (1/2),0.5 (1/2),64 (p)
61,0.5 (1/2),0.5 (1/2),64 (p)
64,2.0125 (~9/8),0.05416666666666667 (~1/16),64 (p)
68,1.9583333333333333 (~9/8),0.029166666666666667 (~1/32),64 (p)
73,1.4166666666666667 (~9/8),1.4166666666666667 (~9/8),64 (p)
71,0.5 (1/2),0.5 (1/2),64 (p)
69,0.9791666666666666 (~1),0.0125 (~1/64),64 (p)
66,1.0 (1),0.9875 (~1),64 (p)
69,0.125 (1/8),0.0125 (~1/64),64 (p)
64,5.0 (~9/8),0.16666666666666666 (~3/16),64 (p)
68,0.125 (1/8),0.125 (1/8),57 (pp)
69,0.125 (1/8),0.125 (1/8),59 (pp)
68,0.125 (1/8),0.07083333333333333 (~1/16),61 (p)
54,0.5 (1/2),0.05416666666666667 (~1/16),64 (p)
69,0.125 (1/8),0.17916666666666667 (~3/16),63 (p)
68,4.333333333333333 (~9/8),0.26666666666666666 (~1/4),64 (p)
52,0.5 (1/2),0.5 (1/2),64 (p)
51,0.5 (1/2),0.5 (1/2),64 (p)
52,0.5 (1/2),0.5 (1/2),64 (p)
49,0.375 (~1/2),0.375 (~1/2),64 (p)
52,0.125 (1/8),0.125 (1/8),64 (p)
56,0.125 (1/8),0.125 (1/8),64 (p)
61,1.375 (~9/8),1.375 (~9/8),64 (p)
59,0.5 (1/2),0.5 (1/2),64 (p)
57,1.0 (1),0.0125 (~1/64),64 (p)
66,4.0 (~9/8),0.9875 (~1),64 (p)
56,5.0 (~9/8),0.025 (~1/32),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
72,0.5 (1/2),0.5 (1/2),64 (p)
70,0.5 (1/2),0.5 (1/2),64 (p)
72,0.5 (1/2),0.5 (1/2),64 (p)
68,2.4708333333333337 (~9/8),0.5416666666666666 (~1/2),64 (p)
75,1.9166666666666667 (~9/8),0.041666666666666664 (~1/32),64 (p)
80,1.4166666666666667 (~9/8),1.4166666666666667 (~9/8),64 (p)
78,0.5 (1/2),0.475 (~1/2),64 (p)
61,1.0 (1),0.025 (~1/32),64 (p)
76,0.9791666666666666 (~1),0.0125 (~1/64),64 (p)
73,1.0 (1),0.9625 (~1),64 (p)
63,0.5 (1/2),0.025 (~1/32),64 (p)
76,0.1666666666666666 (~3/16),0.0125 (~1/64),68 (p)
72,4.958333333333333 (~9/8),0.15416666666666667 (~1/8),64 (p)
75,4.833333333333333 (~9/8),0.30833333333333335 (~1/4),64 (p)
61,0.5 (1/2),0.5 (1/2),64 (p)
60,0.5 (1/2),0.5 (1/2),64 (p)
58,0.5 (1/2),0.5 (1/2),64 (p)
60,0.5 (1/2),0.5 (1/2),64 (p)
56,0.375 (~1/2),0.375 (~1/2),64 (p)
60,0.125 (1/8),0.125 (1/8),64 (p)
63,0.125 (1/8),0.125 (1/8),64 (p)
66,1.375 (~9/8),1.375 (~9/8),64 (p)
64,0.5 (1/2),0.5 (1/2),64 (p)
63,1.0 (1),0.025 (~1/32),64 (p)
80,1.0 (1),0.025 (~1/32),64 (p)
72,1.0 (1),0.95 (~1),64 (p)
64,3.0 (~9/8),0.025 (~1/32),64 (p)
75,0.1666666666666666 (~3/16),0.025 (~1/32),80 (mp)
69,1.0 (1),0.14166666666666666 (~1/8),64 (p)
73,0.3333333333333333 (~1/4),0.3333333333333333 (~1/4),64 (p)
72,0.5 (1/2),0.5 (1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
81,1.5 (~9/8),0.975 (~1),64 (p)
63,6.0 (~9/8),0.05 (~1/16),64 (p)
69,3.0 (~9/8),0.475 (~1/2),64 (p)
80,0.5 (1/2),0.5 (1/2),64 (p)
78,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
73,0.6458333333333333 (~3/4),0.525 (~1/2),64 (p)
68,1.0 (1),0.14166666666666666 (~1/8),64 (p)
71,0.3333333333333333 (~1/4),0.3333333333333333 (~1/4),64 (p)
69,0.5 (1/2),0.5 (1/2),64 (p)
71,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
80,1.5 (~9/8),0.975 (~1),64 (p)
61,6.054166666666666 (~9/8),0.05 (~1/16),64 (p)
68,3.0 (~9/8),0.475 (~1/2),64 (p)
78,0.5 (1/2),0.5 (1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
71,0.6041666666666667 (~1/2),0.525 (~1/2),64 (p)
66,1.0 (1),0.15416666666666667 (~1/8),64 (p)
69,0.3333333333333333 (~1/4),0.3333333333333333 (~1/4),64 (p)
68,0.5 (1/2),0.5 (1/2),64 (p)
69,0.5 (1/2),0.5 (1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
78,1.5 (~9/8),0.9625 (~1),64 (p)
59,3.5125 (~9/8),0.05 (~1/16),64 (p)
66,3.0 (~9/8),0.4875 (~1/2),64 (p)
76,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
71,0.5 (1/2),0.5 (1/2),64 (p)
69,0.5 (1/2),0.4625 (~1/2),64 (p)
52,6.0 (~9/8),0.0375 (~1/32),64 (p)
69,0.125 (1/8),0.0125 (~1/64),64 (p)
64,3.0 (~9/8),0.1125 (~1/8),64 (p)
68,0.125 (1/8),0.125 (1/8),64 (p)
69,0.125 (1/8),0.125 (1/8),64 (p)
68,4.125 (~9/8),0.1 (~3/32),64 (p)
57,0.5 (1/2),0.5 (1/2),64 (p)
56,0.5 (1/2),0.5 (1/2),64 (p)
54,0.5 (1/2),0.5 (1/2),64 (p)
56,0.5 (1/2),0.5 (1/2),64 (p)
52,0.375 (~1/2),0.375 (~1/2),64 (p)
56,0.125 (1/8),0.125 (1/8),64 (p)
59,0.125 (1/8),0.125 (1/8),64 (p)
64,1.375 (~9/8),1.375 (~9/8),64 (p)
63,0.5 (1/2),0.025 (~1/32),64 (p)
66,0.5208333333333334 (~1/2),0.475 (~1/2),64 (p)
61,1.0 (1),0.025 (~1/32),64 (p)
69,0.125 (1/8),0.125 (1/8),64 (p)
68,0.125 (1/8),0.125 (1/8),64 (p)
69,1.25 (~9/8),0.7125 (~3/4),64 (p)
51,3.0 (~9/8),0.0125 (~1/64),64 (p)
60,7.5 (~9/8),0.525 (~1/2),64 (p)
68,0.5 (1/2),0.5 (1/2),64 (p)
66,0.5 (1/2),0.5 (1/2),64 (p)
64,0.5 (1/2),0.5 (1/2),64 (p)
66,0.5 (1/2),0.5 (1/2),64 (p)
63,0.5 (1/2),0.4625 (~1/2),64 (p)
56,1.5 (~9/8),0.0375 (~1/32),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
72,0.5 (1/2),0.4625 (~1/2),64 (p)
54,0.5 (1/2),0.0375 (~1/32),64 (p)
70,0.5 (1/2),0.4625 (~1/2),64 (p)
56,1.0 (1),0.0375 (~1/32),64 (p)
72,0.5 (1/2),0.5 (1/2),64 (p)
68,0.5 (1/2),0.4625 (~1/2),64 (p)
49,4.5 (~9/8),0.0375 (~1/32),64 (p)
81,0.5 (1/2),0.5 (1/2),64 (p)
80,0.5 (1/2),0.5 (1/2),64 (p)
78,0.5 (1/2),0.475 (~1/2),64 (p)
61,0.5 (1/2),0.025 (~1/32),64 (p)
76,0.5 (1/2),0.475 (~1/2),64 (p)
63,1.0 (1),0.025 (~1/32),64 (p)
78,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.475 (~1/2),64 (p)
61,3.0 (~9/8),0.025 (~1/32),64 (p)
76,4.5 (~9/8),0.5125 (~1/2),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
73,0.5 (1/2),0.45 (~1/2),64 (p)
51,0.5 (1/2),0.05 (~1/16),64 (p)
71,0.5 (1/2),0.45 (~1/2),64 (p)
52,1.0 (1),0.05 (~1/16),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
70,0.5 (1/2),0.45 (~1/2),64 (p)
46,0.5 (1/2),0.05 (~1/16),64 (p)
68,0.1666666666666666 (~3/16),0.16666666666666666 (~3/16),64 (p)
67,1.3333333333333333 (~9/8),0.2833333333333333 (~1/4),64 (p)
51,0.5 (1/2),0.5 (1/2),64 (p)
49,0.5 (1/2),0.5 (1/2),64 (p)
47,0.5 (1/2),0.0375 (~1/32),64 (p)
75,0.5 (1/2),0.0125 (~1/64),64 (p)
68,0.5 (1/2),0.45 (~1/2),64 (p)
49,0.5 (1/2),0.0375 (~1/32),64 (p)
73,0.9583333333333334 (~1),0.0125 (~1/64),64 (p)
70,0.125 (1/8),0.125 (1/8),64 (p)
68,0.125 (1/8),0.125 (1/8),64 (p)
70,0.75 (3/4),0.2 (~3/16),64 (p)
46,0.5 (1/2),0.5 (1/2),64 (p)
43,0.5 (1/2),0.05 (~1/16),64 (p)
73,1.5 (~9/8),0.45 (~1/2),64 (p)
47,0.5 (1/2),0.5 (1/2),64 (p)
46,0.5 (1/2),0.5 (1/2),64 (p)
44,0.5 (1/2),0.05 (~1/16),64 (p)
71,0.5 (1/2),0.45 (~1/2),64 (p)
46,0.5 (1/2),0.05 (~1/16),64 (p)
70,1.5 (~9/8),0.125 (1/8),64 (p)
65,0.125 (1/8),0.125 (1/8),64 (p)
67,1.25 (~9/8),0.2 (~3/16),64 (p)
43,0.5 (1/2),0.5 (1/2),64 (p)
37,3.5 (~9/8),0.55 (~1/2),64 (p)
68,0.5 (1/2),0.5 (1/2),64 (p)
67,0.5 (1/2),0.5 (1/2),64 (p)
65,0.5 (1/2),0.5 (1/2),64 (p)
67,0.5 (1/2),0.5 (1/2),64 (p)
63,0.5 (1/2),0.5 (1/2),64 (p)
67,2.0125 (~9/8),0.05416666666666667 (~1/16),64 (p)
70,1.9583333333333333 (~9/8),0.029166666666666667 (~1/32),64 (p)
75,3.4166666666666665 (~9/8),0.36666666666666664 (~1/4),64 (p)
49,0.5 (1/2),0.5 (1/2),64 (p)
47,0.5 (1/2),0.5 (1/2),64 (p)
46,0.5 (1/2),0.5 (1/2),64 (p)
47,0.5 (1/2),0.0625 (1/16),64 (p)
68,6.0 (~9/8),0.4375 (~1/2),64 (p)
