event,duration,transition,velocity
70,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
65,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
63,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
72,0.5 (1/2),0.5 (1/2),64 (p)
70,0.5 (1/2),1.0 (1),64 (p)
69,0.2125 (~3/16),0.25 (1/4),64 (p)
65,0.25 (1/4),0.25 (1/4),64 (p)
75,0.5 (1/2),0.5 (1/2),64 (p)
74,0.5708333333333333 (~1/2),0.5833333333333334 (~1/2),64 (p)
72,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),64 (p)
74,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),46 (ppp)
72,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),48 (ppp)
74,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),50 (ppp)
72,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),52 (pp)
74,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),54 (pp)
72,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),56 (pp)
74,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),58 (pp)
72,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),59 (pp)
74,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),61 (p)
72,0.0833333333333333 (~3/32),0.08333333333333333 (~3/32),63 (p)
70,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
70,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
67,0.5 (1/2),0.25 (1/4),64 (p)
62,0.25 (1/4),0.25 (1/4),64 (p)
80,0.5 (1/2),0.25 (1/4),64 (p)
62,0.25 (1/4),0.25 (1/4),64 (p)
79,0.5 (1/2),0.25 (1/4),64 (p)
63,0.25 (1/4),0.25 (1/4),64 (p)
77,0.5 (1/2),0.25 (1/4),64 (p)
63,0.25 (1/4),0.25 (1/4),64 (p)
75,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
75,0.25 (1/4),0.25 (1/4),64 (p)
77,1.25 (~9/8),0.5 (1/2),64 (p)
62,0.25 (1/4),0.25 (1/4),64 (p)
58,0.25 (1/4),0.25 (1/4),64 (p)
68,0.5 (1/2),0.25 (1/4),64 (p)
75,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.25 (1/4),64 (p)
79,0.25 (1/4),0.25 (1/4),64 (p)
80,0.25 (1/4),0.08333333333333333 (~3/32),64 (p)
65,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),42 (ppp)
67,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),44 (ppp)
77,0.25 (1/4),0.08333333333333333 (~3/32),64 (p)
67,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),48 (ppp)
65,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),51 (pp)
70,0.25 (1/4),0.08333333333333333 (~3/32),64 (p)
65,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),55 (pp)
67,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),57 (pp)
80,0.25 (1/4),0.08333333333333333 (~3/32),64 (p)
67,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),61 (p)
65,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),63 (p)
79,0.4958333333333333 (~1/2),0.25 (1/4),64 (p)
70,0.25 (1/4),0.25 (1/4),64 (p)
75,0.25 (1/4),0.25 (1/4),64 (p)
79,0.25 (1/4),0.25 (1/4),64 (p)
84,1.5 (~9/8),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
65,0.25 (1/4),0.25 (1/4),64 (p)
62,0.25 (1/4),0.25 (1/4),64 (p)
69,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
77,0.25 (1/4),0.25 (1/4),64 (p)
82,1.5 (~9/8),0.25 (1/4),64 (p)
70,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
63,0.25 (1/4),0.25 (1/4),64 (p)
60,0.25 (1/4),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
75,0.25 (1/4),0.25 (1/4),64 (p)
80,0.5 (1/2),0.25 (1/4),64 (p)
70,0.25 (1/4),0.25 (1/4),64 (p)
79,0.5 (1/2),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
77,1.0 (1),0.25 (1/4),64 (p)
55,0.25 (1/4),0.25 (1/4),64 (p)
73,0.5 (1/2),0.25 (1/4),64 (p)
55,0.25 (1/4),0.25 (1/4),64 (p)
79,0.5 (1/2),0.25 (1/4),64 (p)
56,0.25 (1/4),0.25 (1/4),64 (p)
74,0.5 (1/2),0.25 (1/4),64 (p)
56,0.25 (1/4),0.25 (1/4),64 (p)
75,1.5 (~9/8),0.25 (1/4),64 (p)
67,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
70,0.25 (1/4),0.25 (1/4),64 (p)
72,1.25 (~9/8),0.5 (1/2),64 (p)
77,0.5 (1/2),0.25 (1/4),64 (p)
53,0.25 (1/4),0.25 (1/4),64 (p)
79,1.5 (~9/8),0.25 (1/4),64 (p)
70,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
75,0.25 (1/4),0.08333333333333333 (~3/32),64 (p)
60,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),43 (ppp)
62,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),45 (ppp)
72,0.25 (1/4),0.08333333333333333 (~3/32),64 (p)
62,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),49 (ppp)
60,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),51 (pp)
81,0.5 (1/2),0.08333333333333333 (~3/32),64 (p)
60,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),56 (pp)
62,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),58 (pp)
75,0.25 (1/4),0.08333333333333333 (~3/32),64 (p)
62,0.0916666666666666 (~3/32),0.08333333333333333 (~3/32),62 (p)
60,0.0833333333333333 (~3/32),0.08333333333333333 (~3/32),73 (mp)
82,2.2083333333333335 (~9/8),0.25 (1/4),64 (p)
65,0.25 (1/4),0.25 (1/4),64 (p)
77,0.5 (1/2),0.25 (1/4),64 (p)
58,0.25 (1/4),0.25 (1/4),64 (p)
74,0.5 (1/2),0.25 (1/4),64 (p)
65,0.25 (1/4),0.25 (1/4),64 (p)
70,0.5 (1/2),0.25 (1/4),64 (p)
56,0.25 (1/4),0.25 (1/4),64 (p)
75,0.5 (1/2),0.2625 (~1/4),64 (p)
82,0.25 (1/4),0.2375 (~1/4),64 (p)
63,0.5 (1/2),0.0125 (~1/64),64 (p)
79,0.25 (1/4),0.25 (1/4),64 (p)
75,0.25 (1/4),0.25 (1/4),64 (p)
73,0.25 (1/4),0.25 (1/4),64 (p)
82,0.25 (1/4),0.2375 (~1/4),64 (p)
51,0.5 (1/2),0.0125 (~1/64),64 (p)
79,0.25 (1/4),0.25 (1/4),64 (p)
73,0.25 (1/4),0.2375 (~1/4),64 (p)
56,0.25 (1/4),0.0125 (~1/64),64 (p)
72,0.5 (1/2),0.2375 (~1/4),64 (p)
63,0.25 (1/4),0.25 (1/4),64 (p)
60,0.25 (1/4),0.0125 (~1/64),64 (p)
75,0.5 (1/2),0.2375 (~1/4),64 (p)
56,0.25 (1/4),0.25 (1/4),64 (p)
72,0.5 (1/2),0.0125 (~1/64),64 (p)
80,1.2083333333333333 (~9/8),0.2375 (~1/4),64 (p)
63,0.25 (1/4),0.25 (1/4),64 (p)
68,0.5 (1/2),0.25 (1/4),64 (p)
55,0.25 (1/4),0.25 (1/4),64 (p)
74,0.5 (1/2),0.275 (~1/4),64 (p)
80,0.25 (1/4),0.225 (~1/4),64 (p)
62,0.5 (1/2),0.025 (~1/32),64 (p)
77,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
80,0.25 (1/4),0.225 (~1/4),64 (p)
50,0.5 (1/2),0.025 (~1/32),64 (p)
77,0.25 (1/4),0.25 (1/4),64 (p)
72,0.25 (1/4),0.225 (~1/4),64 (p)
55,0.25 (1/4),0.025 (~1/32),64 (p)
70,0.5 (1/2),0.225 (~1/4),64 (p)
62,0.25 (1/4),0.25 (1/4),64 (p)
58,0.25 (1/4),0.025 (~1/32),64 (p)
74,0.5 (1/2),0.225 (~1/4),64 (p)
55,0.25 (1/4),0.25 (1/4),64 (p)
70,0.5 (1/2),0.025 (~1/32),64 (p)
79,2.25 (~9/8),0.225 (~1/4),64 (p)
61,0.25 (1/4),0.25 (1/4),64 (p)
67,0.5 (1/2),0.25 (1/4),64 (p)
55,0.25 (1/4),0.25 (1/4),64 (p)
72,0.5 (1/2),0.25 (1/4),64 (p)
60,0.25 (1/4),0.25 (1/4),64 (p)
70,0.5 (1/2),0.25 (1/4),64 (p)
52,0.25 (1/4),0.25 (1/4),64 (p)
68,1.25 (~9/8),0.25 (1/4),64 (p)
60,0.25 (1/4),0.025 (~1/32),64 (p)
72,0.25 (1/4),0.225 (~1/4),64 (p)
56,0.25 (1/4),0.025 (~1/32),64 (p)
74,0.25 (1/4),0.225 (~1/4),64 (p)
53,0.25 (1/4),0.025 (~1/32),64 (p)
75,0.25 (1/4),0.225 (~1/4),64 (p)
50,0.25 (1/4),0.025 (~1/32),64 (p)
77,1.5 (~9/8),0.225 (~1/4),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
70,0.25 (1/4),0.25 (1/4),64 (p)
68,0.25 (1/4),0.25 (1/4),64 (p)
67,1.0 (1),0.25 (1/4),64 (p)
58,0.25 (1/4),0.25 (1/4),64 (p)
55,0.25 (1/4),0.025 (~1/32),64 (p)
75,0.75 (3/4),0.225 (~1/4),64 (p)
51,0.25 (1/4),0.25 (1/4),64 (p)
65,1.0 (1),0.275 (~1/4),64 (p)
74,0.25 (1/4),0.225 (~1/4),64 (p)
56,0.5 (1/2),0.025 (~1/32),64 (p)
72,0.25 (1/4),0.25 (1/4),64 (p)
74,0.25 (1/4),0.225 (~1/4),64 (p)
70,1.5 (~9/8),0.275 (~1/4),64 (p)
75,0.25 (1/4),0.225 (~1/4),64 (p)
