event,duration,transition,velocity
56,0.9479166666666666 (~1),3.0 (~9/8),96 (f)
58,0.9979166666666668 (~1),0.5 (1/2),127 (ffff)
57,0.9479166666666666 (~1),0.5 (1/2),96 (f)
60,1.9979166666666663 (~9/8),0.5 (1/2),127 (ffff)
56,1.4229166666666666 (~9/8),1.0 (1),81 (mf)
63,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
67,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
70,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
71,0.2479166666666666 (~1/4),0.5 (1/2),96 (f)
72,0.2479166666666666 (~1/4),1.5 (~9/8),96 (f)
58,1.4729166666666669 (~9/8),0.5 (1/2),127 (ffff)
57,0.4729166666666666 (~1/2),0.5 (1/2),73 (mp)
56,1.8979166666666667 (~9/8),0.5 (1/2),49 (ppp)
60,1.4229166666666666 (~9/8),1.0 (1),49 (ppp)
63,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
67,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
70,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
71,0.2479166666666666 (~1/4),0.5 (1/2),49 (ppp)
72,0.2479166666666666 (~1/4),1.5 (~9/8),49 (ppp)
58,0.9979166666666668 (~1),0.5 (1/2),73 (mp)
57,0.9479166666666666 (~1),0.5 (1/2),49 (ppp)
55,2.997916666666667 (~9/8),0.5 (1/2),73 (mp)
63,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
59,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
66,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
62,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
58,0.4729166666666666 (~1/2),1.0 (1),49 (ppp)
51,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
47,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
43,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
42,1.4979166666666666 (~9/8),0.5 (1/2),49 (ppp)
