event,duration,transition,velocity
48,0.1229166666666666 (~1/8),0.375 (~1/2),80 (mp)
69,0.1166666666666666 (~1/8),0.125 (1/8),88 (mf)
58,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
69,0.1166666666666666 (~1/8),0.375 (~1/2),96 (f)
79,1.4229166666666666 (~9/8),0.5 (1/2),96 (f)
71,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
63,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
72,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
65,0.48333333333333317 (~1/2),0.5 (1/2),96 (f)
64,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
80,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
74,0.2354166666666666 (~1/4),0.25 (1/4),112 (fff)
82,0.2479166666666666 (~1/4),0.25 (1/4),107 (ff)
77,0.2354166666666666 (~1/4),0.25 (1/4),101 (ff)
72,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
78,0.1979166666666666 (~3/16),0.20833333333333334 (~3/16),97 (f)
84,0.08125 (~3/32),0.08333333333333333 (~3/32),105 (ff)
78,0.08125 (~3/32),0.08333333333333333 (~3/32),108 (ff)
84,0.2354166666666666 (~1/4),0.25 (1/4),112 (fff)
74,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
77,0.1229166666666666 (~1/8),0.125 (1/8),105 (ff)
74,0.1229166666666666 (~1/8),0.125 (1/8),98 (f)
77,0.1229166666666666 (~1/8),0.125 (1/8),90 (mf)
74,0.1229166666666666 (~1/8),0.125 (1/8),83 (mf)
77,0.1166666666666666 (~1/8),0.125 (1/8),76 (mp)
74,0.1166666666666666 (~1/8),0.125 (1/8),68 (p)
77,0.1166666666666666 (~1/8),0.125 (1/8),65 (p)
74,0.1166666666666666 (~1/8),0.125 (1/8),65 (p)
77,0.2333333333333332 (~1/4),0.375 (~1/2),65 (p)
72,0.2333333333333332 (~1/4),0.375 (~1/2),65 (p)
78,0.2333333333333332 (~1/4),0.375 (~1/2),65 (p)
69,0.1166666666666666 (~1/8),0.125 (1/8),65 (p)
78,0.1166666666666666 (~1/8),0.125 (1/8),65 (p)
69,0.2333333333333332 (~1/4),0.375 (~1/2),65 (p)
75,0.2333333333333332 (~1/4),0.375 (~1/2),65 (p)
68,0.1166666666666666 (~1/8),0.125 (1/8),65 (p)
75,0.1166666666666666 (~1/8),0.125 (1/8),65 (p)
69,0.1166666666666666 (~1/8),0.125 (1/8),65 (p)
76,0.6229166666666667 (~1/2),0.125 (1/8),65 (p)
65,0.4979166666666667 (~1/2),0.5 (1/2),65 (p)
69,0.4729166666666666 (~1/2),1.0 (1),65 (p)
74,0.4979166666666667 (~1/2),0.5 (1/2),65 (p)
71,0.4729166666666666 (~1/2),1.0 (1),65 (p)
70,1.7791666666666666 (~9/8),0.25 (1/4),65 (p)
62,1.4229166666666666 (~9/8),0.25 (1/4),65 (p)
52,1.2354166666666666 (~9/8),1.375 (~9/8),65 (p)
71,0.3541666666666667 (~1/4),0.375 (~1/2),96 (f)
61,0.3541666666666667 (~1/4),0.375 (~1/2),96 (f)
67,0.3541666666666667 (~1/4),0.125 (1/8),96 (f)
52,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
53,0.7479166666666667 (~3/4),0.25 (1/4),96 (f)
51,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
44,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
72,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
69,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
74,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
68,0.9479166666666666 (~1),0.75 (3/4),96 (f)
46,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
65,0.4979166666666667 (~1/2),0.25 (1/4),104 (ff)
90,1.1979166666666665 (~9/8),1.0 (1),112 (fff)
75,0.2354166666666666 (~1/4),0.25 (1/4),112 (fff)
84,0.4708333333333332 (~1/2),0.5 (1/2),112 (fff)
81,0.2354166666666666 (~1/4),0.25 (1/4),112 (fff)
80,0.2354166666666666 (~1/4),0.25 (1/4),112 (fff)
72,1.90625 (~9/8),2.0 (~9/8),112 (fff)
78,0.4708333333333332 (~1/2),0.5 (1/2),112 (fff)
87,0.4708333333333332 (~1/2),0.5 (1/2),112 (fff)
94,0.4708333333333332 (~1/2),1.0 (1),112 (fff)
76,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
65,0.2354166666666666 (~1/4),0.25 (1/4),33 (pppp)
63,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
60,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
79,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
73,0.2354166666666666 (~1/4),0.25 (1/4),36 (pppp)
62,0.1229166666666666 (~1/8),0.25 (1/4),39 (pppp)
58,0.2479166666666666 (~1/4),0.25 (1/4),42 (ppp)
65,0.2479166666666666 (~1/4),0.25 (1/4),45 (ppp)
76,0.2354166666666666 (~1/4),0.25 (1/4),48 (ppp)
66,0.1229166666666666 (~1/8),0.25 (1/4),51 (pp)
59,0.2354166666666666 (~1/4),0.25 (1/4),55 (pp)
75,0.7104166666666667 (~3/4),0.25 (1/4),58 (pp)
71,0.2354166666666666 (~1/4),0.25 (1/4),61 (p)
69,0.7104166666666667 (~3/4),0.25 (1/4),64 (p)
74,0.2354166666666666 (~1/4),0.25 (1/4),67 (p)
77,0.7104166666666667 (~3/4),0.25 (1/4),70 (p)
72,0.2354166666666666 (~1/4),0.25 (1/4),73 (mp)
61,0.4979166666666667 (~1/2),0.25 (1/4),77 (mp)
76,0.2354166666666666 (~1/4),0.25 (1/4),80 (mp)
77,0.2354166666666666 (~1/4),0.25 (1/4),83 (mf)
74,0.4729166666666666 (~1/2),0.25 (1/4),86 (mf)
68,0.4729166666666666 (~1/2),0.25 (1/4),89 (mf)
75,0.2354166666666666 (~1/4),0.25 (1/4),92 (f)
